TX_REF|TX_CHAVE|TX_VALOR
EQ_TipoConclusaoExecutada|MA_LG_LIGNOVBT_VISLGNVN_0003|EXECUÇÃO VISTORIA C/ LIGAÇÃO E FINANCIAMENTO DO PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGNOVBT_VISLGNVN_0024|EXECUTADO VISTORIA COM FINANC. PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0001|EXECUÇÃO DA VISTORIA
EQ_TipoConclusaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0002|EXECUÇÃO VISTORIA COM LIGAÇÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0003|EXECUÇÃO VISTORIA C/ LIGAÇÃO E FINANCIAMENTO DO PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGNOVBT_VISTLGNV_0024|EXECUTADO VISTORIA COM FINANC. PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGPROVI_EXECTRPT_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_LG_LIGPROVI_EXELIGPR_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_LG_LIGPROVI_VISTLGPR_0001|EXECUÇÃO DA VISTORIA
EQ_TipoConclusaoExecutada|MA_LG_LIGPROVI_VISTLGPR_0002|EXECUÇÃO VISTORIA COM LIGAÇÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_EXECTRPT_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_EXELIGNV_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_EXELIGNV_0002|EXECUTADO C/ FINANCIAMENTO DE PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_EXLIGNOV_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_EXLIGNOV_0002|EXECUTADO C/ FINANCIAMENTO DE PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISLGNVN_0001|EXECUÇÃO DA VISTORIA
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISLGNVN_0002|EXECUÇÃO VISTORIA COM LIGAÇÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISLGNVN_0003|EXECUÇÃO VISTORIA C/ LIGAÇÃO E FINANCIAMENTO DO PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISLGNVN_0024|EXECUTADO VISTORIA COM FINANC. PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISTLGNV_0001|EXECUÇÃO DA VISTORIA
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISTLGNV_0002|EXECUÇÃO VISTORIA COM LIGAÇÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISTLGNV_0003|EXECUÇÃO VISTORIA C/ LIGAÇÃO E FINANCIAMENTO DO PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGREATI_VISTLGNV_0024|EXECUTADO VISTORIA COM FINANC. PADRÃO
EQ_TipoConclusaoExecutada|MA_LG_LIGSISOL_EXELIGIS_0001|EXECUTADO
